Description,Price,Rating,ReviewCount,Url
Men's Solid Crew Neck Short-Sleeve Pocket T-Shirt,$17.51,4.5,"5,224",https://www.amazon.com/Nautica-Sleeve-Pocket-T-Shirt-XX-Large/dp/B07HR8C86D/ref=sr_1_19?keywords=mens+shirts&qid=1655264378&sr=8-19
Muscle Polo Shirts for Men Short Sleeve Slim Fit Quick Dry T-Shirts for Golf Tennis Workout Casual,$19.99,4.9,13,https://www.amazon.com/CANGHPGIN-Shirts-Sleeve-Muscle-Casual/dp/B09W91FGSH/ref=sr_1_20?keywords=mens+shirts&qid=1655264378&sr=8-20
5 Pack: Men’s Dry-Fit Moisture Wicking Active Athletic Performance Crew T-Shirt,$32.99,4.2,"62,275",https://www.amazon.com/Dri-Fit-Training-Athletic-Essentials-Undershirt/dp/B08289N3G7/ref=sr_1_21?keywords=mens+shirts&qid=1655264378&sr=8-21
Men's Short Sleeve Solid Stretch Cotton Pique Polo Shirt,$21.61,4.6,"3,854",https://www.amazon.com/Nautica-Sleeve-Stretch-Cotton-Bright/dp/B07BN4BY7S/ref=sr_1_22?keywords=mens+shirts&qid=1655264378&sr=8-22
Men's Short Sleeve Performance Cooling Tee,$9.98,4.6,"2,202",https://www.amazon.com/Dickies-Sleeve-Performance-Cooling-Heather/dp/B073R51MJ2/ref=sr_1_23?keywords=mens+shirts&qid=1655264378&sr=8-23
Men's Short Sleeve Pocket T-Shirt,$19.98,4.6,"35,463",https://www.amazon.com/Fruit-Loom-Pocket-T-Shirt-Multipack/dp/B08F2NDLJH/ref=sr_1_24?keywords=mens+shirts&qid=1655264378&sr=8-24
Mens Legend Short Sleeve Tee,$25.99,4.6,513,https://www.amazon.com/NIKE-Athletic-Active-Dri-Fit-Medium/dp/B00JMKLNAA/ref=sr_1_25?keywords=mens+shirts&qid=1655264378&sr=8-25
Men's Regular-fit Short-Sleeve Poplin Shirt,$18.50,4.5,"12,583",https://www.amazon.com/Amazon-Essentials-Regular-Fit-Short-Sleeve-Casual/dp/B07JKGTWGN/ref=sr_1_26?keywords=mens+shirts&qid=1655264378&sr=8-26
Golf Polo Shirts for Men Short Sleeve Athletic Tennis T-Shirt,$25.99,4.4,745,https://www.amazon.com/ZITY-Shirts-Athletic-T-Shirt-035-Red-L/dp/B09G6GKDZC/ref=sr_1_27?keywords=mens+shirts&qid=1655264378&sr=8-27
Men's Standard Regular-fit Cotton Pique Polo Shirt,$16.20,4.3,"23,355",https://www.amazon.com/Amazon-Essentials-Regular-Fit-Cotton-X-Large/dp/B01IXFP9Y0/ref=sr_1_28?keywords=mens+shirts&qid=1655264378&sr=8-28
5 Pack: Men’s V-Neck Dry-Fit Moisture Wicking Active Athletic Tech Performance T-Shirt,$32.99,4.2,"23,832",https://www.amazon.com/Pack-Training-Athletic-Essentials-Undershirt/dp/B07NH63YY7/ref=sr_1_29?keywords=mens+shirts&qid=1655264378&sr=8-29
Men's Traditional Fit Short Sleeve Seersucker Shirt,$49.16,4.6,286,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08689092KIRAK85WSCUH&url=%2FLands-End-Traditional-Seersucker-Regular%2Fdp%2FB085G3MJJ8%2Fref%3Dsr_1_30_sspa%3Fkeywords%3Dmens%2Bshirts%26qid%3D1655264378%26sr%3D8-30-spons%26psc%3D1&qualifier=1655264378&id=578160062428145&widgetName=sp_mtf
"1 or 2 Pack Men's Cotton Pique Polo Shirts, Classic Fit Short Sleeve Solid Casual Shirts, Performance Stretch Golf Shirt",$22.98,4.0,2,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07357791KAI05WBX3XIK&url=%2FTSLA-Cotton-Classic-Performance-Stretch%2Fdp%2FB09HWZCXSL%2Fref%3Dsr_1_31_sspa%3Fkeywords%3Dmens%2Bshirts%26qid%3D1655264378%26sr%3D8-31-spons%26psc%3D1&qualifier=1655264378&id=578160062428145&widgetName=sp_mtf
Mens Casual Slim Fit Basic Henley Short/Long Sleeve Fashion T-Shirt,$22.99,4.1,"4,651",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05459991THQDE0WD4RVA&url=%2FMLANM-Casual-Henley-Sleeve-T-Shirt%2Fdp%2FB07V5BLPL5%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dmens%2Bshirts%26qid%3D1655264378%26sr%3D8-32-spons%26psc%3D1&qualifier=1655264378&id=578160062428145&widgetName=sp_mtf
